epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.9177,0.00487,0.66,1,1.14532,0.00023338,0.00023338,0.00023338
2,63.3849,0.00309,0.65,1,2.03088,0.000323898,0.000323898,0.000323898
3,89.2792,0.01001,0.7,1,0.70612,0.000249383,0.000249383,0.000249383
