epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.2146,0.00614,0.3913,1,3.56753,0.00023338,0.00023338,0.00023338
2,42.9499,0.00396,0.4,1,3.45247,0.000323898,0.000323898,0.000323898
3,62.126,0.03006,0.44348,1,2.0733,0.000249383,0.000249383,0.000249383
